county,type,facility_name,street_address,city,state,zip,location,lat,long
Kings,Pharmacy Only,"S.V.R.H. Pharmacy, Inc.",Smith Street,Brooklyn,NY,11201,"Smith Street
Brooklyn, NY 11201
(40.687795797, -73.989738535)",40.687795797,-73.989738535
New York,Pharmacy Only,Duane Reade #14480,Spring St,New York,NY,10012,"Spring St
New York, NY 10012
(40.723120212, -73.998992822)",40.723120212,-73.998992822
Queens,Pharmacy Only,Walgreens #12490,Metropolitan Ave,Richmond Hill,NY,11418,"Metropolitan Ave
Richmond Hill, NY 11418
(40.708532049, -73.838893279)",40.708532049,-73.838893279
Queens,Pharmacy Only,Walgreens #17151,Rockway Beach Blvd.,Rockaway Park,NY,11694,"Rockway Beach Blvd.
Rockaway Park, NY 11694
(40.584053022, -73.82069254)",40.584053022,-73.82069254
Bronx,Pharmacy Only,Walgreens #11172,Metropolitan Ave,Bronx,NY,10462,"Metropolitan Ave
Bronx, NY 10462
(40.835507081, -73.861019981)",40.835507081,-73.861019981
Kings,Pharmacy Only,Hina Drugs,Sutter Ave,Brooklyn,NY,11212,"Sutter Ave
Brooklyn, NY 11212
(40.666809874, -73.912541795)",40.666809874,-73.912541795
New York,Pharmacy Only,"Lenox Terrace Pharmacy, Inc.",West 135th Street,New York,NY,10037,"West 135th Street
New York, NY 10037
(40.813454546, -73.93927287)",40.813454546,-73.93927287
Bronx,Pharmacy Only,Rx Solutions Pharmacy,East 167 Street,Bronx,NY,10452,"East 167 Street
Bronx, NY 10452
(40.835283586, -73.919907173)",40.835283586,-73.919907173
New York,Pharmacy Only,Duane Reade #14169,E 34th St,New York,NY,10016,"E 34th St
New York, NY 10016
(40.747527962, -73.982401443)",40.747527962,-73.982401443
Queens,Pharmacy Only,Walgreens #4445,Rockaway Blvd,South Ozone Park,NY,11420,"Rockaway Blvd
South Ozone Park, NY 11420
(40.675731403, -73.81669264)",40.675731403,-73.81669264
Kings,Pharmacy Only,Thriftway Pharmacy,Flatbush Av,Brooklyn,NY,11225,"Flatbush Av
Brooklyn, NY 11225
(40.664498076, -73.963337847)",40.664498076,-73.963337847
Kings,Pharmacy Only,Walgreens #10326,Brighton Beach Ave,Brooklyn,NY,11235,"Brighton Beach Ave
Brooklyn, NY 11235
(40.57767129, -73.961194181)",40.57767129,-73.961194181
Kings,Pharmacy Only,Walgreens #18228,Pennsylvania Ave,Brooklyn,NY,11207,"Pennsylvania Ave
Brooklyn, NY 11207
(40.664798077, -73.894062001)",40.664798077,-73.894062001
New York,Pharmacy Only,Duane Reade #14131,Whitehall Street,New York,NY,10004,"Whitehall Street
New York, NY 10004
(40.702748606, -74.012905076)",40.702748606,-74.012905076
New York,Pharmacy Only,Duane Reade #14354,E 2nd St,New York,NY,10009,"E 2nd St
New York, NY 10009
(40.722119854, -73.983678357)",40.722119854,-73.983678357
Kings,Pharmacy Only,Kingsbay Chemists Inc.,Nostrand Ave,Brooklyn,NY,11229,"Nostrand Ave
Brooklyn, NY 11229
(40.604809004, -73.942710919)",40.604809004,-73.942710919
Kings,Pharmacy Only,My Unique Pharmacy Inc,55th St,Brooklyn,NY,11220,"55th St
Brooklyn, NY 11220
(40.642280377, -74.013230601)",40.642280377,-74.013230601
Kings,Pharmacy Only,Navar Pharmacy,Avenue M,Brooklyn,NY,11210,"Avenue M
Brooklyn, NY 11210
(40.619299525, -73.948374062)",40.619299525,-73.948374062
Kings,Pharmacy Only,Boreum Drugs Corp.,Union Ave,Brooklyn,NY,11211,"Union Ave
Brooklyn, NY 11211
(40.712954708, -73.951445801)",40.712954708,-73.951445801
Bronx,Pharmacy Only,Washington Pharmacy,Tremont Avenue,Bronx,NY,10457,"Tremont Avenue
Bronx, NY 10457
(40.847177139, -73.898829356)",40.847177139,-73.898829356
Bronx,Pharmacy Only,Rite-Way Pharmacy Llc,Westchester Avenue,Bronx,NY,10472,"Westchester Avenue
Bronx, NY 10472
(40.829950172, -73.873054095)",40.829950172,-73.873054095
Bronx,Pharmacy Only,Kingsbridge Pharmacy,West 231st Street,Bronx,NY,10463,"West 231st Street
Bronx, NY 10463
(40.879528066, -73.90600612)",40.879528066,-73.90600612
Bronx,Pharmacy Only,Leroy Pharmacy,Metropolitan Avenue,Bronx,NY,10462,"Metropolitan Avenue
Bronx, NY 10462
(40.835507081, -73.861019981)",40.835507081,-73.861019981
New York,Pharmacy Only,Upper Manhattan Pharmacy,Amsterdam Ave,New York,NY,10031,"Amsterdam Ave
New York, NY 10031
(40.823937991, -73.948578727)",40.823937991,-73.948578727
Kings,Pharmacy Only,Rx Warehouse Pharmacy Inc.,New Utrecht Ave,Brooklyn,NY,11214,"New Utrecht Ave
Brooklyn, NY 11214
(40.61121479, -74.001246421)",40.61121479,-74.001246421
New York,Pharmacy Only,Duane Reade #14433,West 37th Street,New York,NY,10018,"West 37th Street
New York, NY 10018
(40.754011767, -73.991893768)",40.754011767,-73.991893768
Kings,Pharmacy Only,Walgreens #12541,Rockaway Pkwy,Brooklyn,NY,11236,"Rockaway Pkwy
Brooklyn, NY 11236
(40.64051526, -73.897153295)",40.64051526,-73.897153295
New York,Pharmacy Only,Duane Reade #14202,Columbus Ave,New York,NY,10025,"Columbus Ave
New York, NY 10025
(40.7957297, -73.965451586)",40.7957297,-73.965451586
New York,Pharmacy Only,Duane Reade #14398,1st Ave,New York,NY,10021,"1st Ave
New York, NY 10021
(40.768129082, -73.955758049)",40.768129082,-73.955758049
New York,Pharmacy Only,Duane Reade #14112,Lexington Avenue,New York,NY,10017,"Lexington Avenue
New York, NY 10017
(40.751994998, -73.97564498)",40.751994998,-73.97564498
Queens,Pharmacy Only,Walgreens #07294,Roosevelt Ave,Corona,NY,11368,"Roosevelt Ave
Corona, NY 11368
(40.752270244, -73.85354326)",40.752270244,-73.85354326
New York,Pharmacy Only,Duane Reade #21315,Park Avenue South,New York,NY,10010,"Park Avenue South
New York, NY 10010
(40.740524086, -73.986161191)",40.740524086,-73.986161191
Bronx,Pharmacy Only,Prayosha Pharmacy Corp,East 183rd Street,Bronx,NY,10453,"East 183rd Street
Bronx, NY 10453
(40.85803024, -73.901737783)",40.85803024,-73.901737783
Bronx,Pharmacy Only,Oval Pharmacy,E. Gun Hill Road,Bronx,NY,10467,"E. Gun Hill Road
Bronx, NY 10467
(40.877231993, -73.865986845)",40.877231993,-73.865986845
New York,Pharmacy Only,St Jesus Pharmacy Corp,Broadway,New York,NY,10033,"Broadway
New York, NY 10033
(40.847681539, -73.9379936)",40.847681539,-73.9379936
Queens,Pharmacy Only,Av Pharmacy,Corona Ave,Elmhurst,NY,11373,"Corona Ave
Elmhurst, NY 11373
(40.742052229, -73.874240328)",40.742052229,-73.874240328
Queens,Pharmacy Only,Allstar Pharmacy Inc.,Kissena Blvd,Flushing,NY,11355,"Kissena Blvd
Flushing, NY 11355
(40.755328445, -73.824509811)",40.755328445,-73.824509811
Kings,Pharmacy Only,Walgreens #15097,Prospect Ave,Brooklyn,NY,11215,"Prospect Ave
Brooklyn, NY 11215
(40.661648343, -73.98640407)",40.661648343,-73.98640407
Kings,Pharmacy Only,Bay Health Pharmacy Inc,Bay Parkway,Brooklyn,NY,11204,"Bay Parkway
Brooklyn, NY 11204
(40.613771904, -73.981488075)",40.613771904,-73.981488075
Queens,Pharmacy Only,Dawn Pharmacy Inc.,Central Avenue,Far Rockaway,NY,11691,"Central Avenue
Far Rockaway, NY 11691
(40.607551944, -73.749087771)",40.607551944,-73.749087771
Bronx,Pharmacy Only,Carepoint Pharmacy Corp,Hunts Point Avenue,Bronx,NY,10474,"Hunts Point Avenue
Bronx, NY 10474
(40.814383135, -73.885687709)",40.814383135,-73.885687709
Queens,Pharmacy Only,Big Apple Pharmacy,103rd Street,Corona,NY,11368,"103rd Street
Corona, NY 11368
(40.753665691, -73.86463592)",40.753665691,-73.86463592
Bronx,Pharmacy Only,St. Barnabas Hospital O. Pharmacy,Third Avenue,Bronx,NY,10457,"Third Avenue
Bronx, NY 10457
(40.843780851, -73.897634551)",40.843780851,-73.897634551
Bronx,Pharmacy Only,Mahesh Drugs,White Plains Road,Bronx,NY,10473,"White Plains Road
Bronx, NY 10473
(40.818020148, -73.857317177)",40.818020148,-73.857317177
